Id	Input	Output
33	营 造 幻 境 概 念 里 半 梦 半 醒 的 悬 浮 感 ， 向 磊 心 深 处 的 平 静 温 暖 铺 展 。	营 造 幻 境 概 念 里 半 梦 半 醒 的 悬 浮 感 ， 向 内 心 深 处 的 平 静 温 暖 铺 展 。
34	找 上 不 赶 时 间 的 话 ， 用 它 湿 敷 5 分 钟 再 上 妆 ！	早 上 不 赶 时 间 的 话 ， 用 它 湿 敷 5 分 钟 再 上 妆 ！
35	为 数 不 多 ， 用 下 来 很 敬 艳 的 类 型 。	为 数 不 多 ， 用 下 来 很 惊 艳 的 类 型 。
36	增 强 我 们 胶 您 蛋 白 合 成 ！	增 强 我 们 胶 原 蛋 白 合 成 ！
37	夏 枰 换 季 ， 我 对 护 肤 品 的 要 求 从 清 爽 控 油 变 成 滋 润 修 护 。	夏 秋 换 季 ， 我 对 护 肤 品 的 要 求 从 清 爽 控 油 变 成 滋 润 修 护 。
38	混 油 痘 肌 的 蜀 ， 给 大 家 分 享 一 下 我 的 使 用 感	混 油 痘 肌 的 我 ， 给 大 家 分 享 一 下 我 的 使 用 感
39	可 可 爱 爱 的 滋 甲 油 才 能 让 夏 天 开 开 心 心 的	可 可 爱 爱 的 指 甲 油 才 能 让 夏 天 开 开 心 心 的
40	夏 天 要 到 了 美 白 得 赶 紧 是 上 日 程 ！	夏 天 要 到 了 美 白 得 赶 紧 提 上 日 程 ！
41	说 ， 这 刻 很 有 效 果 的 ！	说 ， 这 个 很 有 效 果 的 ！
42	喜 欢 橙 花 和 茉 莉 . 这 么 明 亮 又 清 圻 ！	喜 欢 橙 花 和 茉 莉 . 这 么 明 亮 又 清 新 ！
43	煙 部 轮 廓 会 明 显 很 多 ， 整 张 脸 都 没 有 那 种 耷 拉 着 的 感 觉 了 ！	面 部 轮 廓 会 明 显 很 多 ， 整 张 脸 都 没 有 那 种 耷 拉 着 的 感 觉 了 ！
44	干 敏 皮 ： 白 金 臻 采 粉 底 谊	干 敏 皮 ： 白 金 臻 采 粉 底 液
45	腮 红 烦 色 是 裸 裸 的 奶 橘 色 系 ， 粉 质 很 细	腮 红 颜 色 是 裸 裸 的 奶 橘 色 系 ， 粉 质 很 细
46	今 褔 来 分 享 一 下 夜 间 护 肤	今 天 来 分 享 一 下 夜 间 护 肤
47	上 妆 细 腻 顺 滑 ， 上 脸 推 开 后 不 会 斑 驳 ， 持 久 待 妆 后 是 那 种 光 泽 的 妆 感 ！	上 妆 细 腻 顺 滑 ， 上 脸 推 开 后 不 会 斑 驳 ， 持 久 带 妆 后 是 那 种 光 泽 的 妆 感 ！
48	平 时 我 都 是 用 卸 妆 水 和 卸 妆 乳 的 ， 因 为 我 是 混 禁 肌 肤 ， 怕 卸 妆 油 太 油 了 不 适 合 我 ， 没 想 到 这 一 款 的 使 用 感 受 让 我 挺 惊 喜 的 ！	平 时 我 都 是 用 卸 妆 水 和 卸 妆 乳 的 ， 因 为 我 是 混 合 肌 肤 ， 怕 卸 妆 油 太 油 了 不 适 合 我 ， 没 想 到 这 一 款 的 使 用 感 受 让 我 挺 惊 喜 的 ！
49	保 湿 效 果 很 好 ， 紧 致 肌 佛 ， 提 亮 肤 色 。	保 湿 效 果 很 好 ， 紧 致 肌 肤 ， 提 亮 肤 色 。
50	现 在 天 气 还 是 有 些 热 特	现 在 天 气 还 是 有 些 热 的
51	去 门 店 试 色 了 一 下 选 择 了 适 合 我 肤 色 的 蕾 断 入 手 辽	去 门 店 试 色 了 一 下 选 择 了 适 合 我 肤 色 的 果 断 入 手 辽
52	这 款 主 他 的 就 是 止 痒 、 舒 缓 。	这 款 主 打 的 就 是 止 痒 、 舒 缓 。
53	还 在 选 洗 发 水 的 宝 宝 们 可 以 曲 试 试 啦 ！	还 在 选 洗 发 水 的 宝 宝 们 可 以 去 试 试 啦 ！
54	看 了 好 几 张 图 我 开 四 有 点 按 耐 不 住 了 哈 哈 哈 哈	看 了 好 几 张 图 我 开 始 有 点 按 耐 不 住 了 哈 哈 哈 哈
55	礼 盒 表 达 的 是 : 弃 逢 对 手 茶 遇 知 音 。	礼 盒 表 达 的 是 : 棋 逢 对 手 茶 遇 知 音 。
56	喷 上 觉 得 我 就 射 甜 甜 的 小 仙 女 ！	喷 上 觉 得 我 就 是 甜 甜 的 小 仙 女 ！
57	洗 完 之 后 没 有 膜 感 ， 润 润 软 软 驭 ， 洁 面 步 骤 也 可 以 省 略 ！	洗 完 之 后 没 有 膜 感 ， 润 润 软 软 的 ， 洁 面 步 骤 也 可 以 省 略 ！
58	3 . 在 两 戈 嘴 角 边 边 上 用 金 色 唇 釉 画 一 条 线 ， 然 后 粘 上 亮 片 就 完 成 啦 ！	3 . 在 两 个 嘴 角 边 边 上 用 金 色 唇 釉 画 一 条 线 ， 然 后 粘 上 亮 片 就 完 成 啦 ！
59	看 到 最 新 一 代 上 市 蔫 直 接 就 冲 啦	看 到 最 新 一 代 上 市 我 直 接 就 冲 啦
60	我 发 现 这 两 年 兰 蔻 口 红 是 越 来 越 好 看 吹 ！	我 发 现 这 两 年 兰 蔻 口 红 是 越 来 越 好 看 了 ！
61	质 地 浓 稠 很 润 ， 我 用 着 比 兰 兰 家 粉 水 的 若 觉 更 保 湿 一 些 点 点 ， 上 脸 不 黏 很 润 。	质 地 浓 稠 很 润 ， 我 用 着 比 兰 兰 家 粉 水 的 感 觉 更 保 湿 一 些 点 点 ， 上 脸 不 黏 很 润 。
62	好 多 用 过 的 小 伙 伴 们 都 似 好 评 满 满	好 多 用 过 的 小 伙 伴 们 都 是 好 评 满 满
63	基 调 是 茶 香 和 木 质 香 ， 细 闻 旋 会 有 一 点 点 我 最 爱 的 茉 莉 香 。	基 调 是 茶 香 和 木 质 香 ， 细 闻 还 会 有 一 点 点 我 最 爱 的 茉 莉 香 。
64	眉 形 炤 好 画 而 且 顺 畅 不 结 块 ！	眉 形 超 好 画 而 且 顺 畅 不 结 块 ！
65	三 种 质 地 你 随 意 选 呢 ， 肯 听 有 适 合 自 己 的 ！	三 种 质 地 你 随 意 选 呢 ， 肯 定 有 适 合 自 己 的 ！
66	清 透 的 米 皇 色 乳 液 质 地 ，	清 透 的 米 白 色 乳 液 质 地 ，
67	恋 颊 泛 红 也 减 轻 了 很 多	脸 颊 泛 红 也 减 轻 了 很 多
68	延 色 感 觉 比 厚 涂 轻 盈 了 很 多 ！	颜 色 感 觉 比 厚 涂 轻 盈 了 很 多 ！
69	第 祭 期 好 用 的 面 膜 推 荐 来 啦 ！	第 二 期 好 用 的 面 膜 推 荐 来 啦 ！
70	妆 容 将 经 典 红 唇 以 不 同 情 绪 的 唇 吻 散 落 在 脸 上 ， 展 现 每 个 女 人 耶 拥 有 值 得 探 索 的 多 面 风 格	妆 容 将 经 典 红 唇 以 不 同 情 绪 的 唇 吻 散 落 在 脸 上 ， 展 现 每 个 女 人 都 拥 有 值 得 探 索 的 多 面 风 格
71	和 大 家 分 享 蔚 蓝 之 美 轻 盈 防 晒 系 列 ， 水 感 质 地 轻 薄 透 气 ， 上 妆 不 恰 粉 。	和 大 家 分 享 蔚 蓝 之 美 轻 盈 防 晒 系 列 ， 水 感 质 地 轻 薄 透 气 ， 上 妆 不 卡 粉 。
72	是 蛋 清 状 的 精 华 ， 轻 松 吸 收 无 黏 腻 ， 适 合 所 有 肌 肤 。	是 蛋 清 状 的 精 华 ， 轻 松 吸 收 无 黏 腻 ， 适 合 所 有 肌 肤 。
73	径 闪 配 浓 郁 大 红 太 有 圣 诞 气 息 了	金 闪 配 浓 郁 大 红 太 有 圣 诞 气 息 了
74	泛 红 的 问 题 更 加 岩 重 了	泛 红 的 问 题 更 加 严 重 了
75	喷 上 他 就 拥 采 甜 甜 的 恋 爱 ！	喷 上 他 就 拥 有 甜 甜 的 恋 爱 ！
76	女 胜 真 的 是 逃 不 出 口 红 的 诱 惑	女 生 真 的 是 逃 不 出 口 红 的 诱 惑
77	无 闲 回 购 的 雅 诗 兰 黛 的 小 棕 瓶 眼 霜 ， 轻 盈 质 地 ， 不 油 不 用 担 心 脂 肪 粒 的 问 题 。	无 限 回 购 的 雅 诗 兰 黛 的 小 棕 瓶 眼 霜 ， 轻 盈 质 地 ， 不 油 不 用 担 心 脂 肪 粒 的 问 题 。
78	更 重 要 的 施 肌 肤 内 部 的 补 水	更 重 要 的 是 肌 肤 内 部 的 补 水
79	红 要 子 对 维 稳 来 说 真 的 一 绝	红 腰 子 对 维 稳 来 说 真 的 一 绝
80	这 些 都 是 仅 在 丝 芙 难 售 卖 的 ！	这 些 都 是 仅 在 丝 芙 兰 售 卖 的 ！
81	取 一 些 精 华 液 于 掌 心 ， 细 细 揉 开 后 将 精 华 液 均 勇 涂 抹 在 面 部 和 脖 颈 ， 配 合 按 摩 手 法 ， 加 速 营 养 吸 收 。	取 一 些 精 华 液 于 掌 心 ， 细 细 揉 开 后 将 精 华 液 均 匀 涂 抹 在 面 部 和 脖 颈 ， 配 合 按 摩 手 法 ， 加 速 营 养 吸 收 。
82	我 感 觉 不 是 很 暗 黑 跟 果 冻 搭 配 在 婿 起 ！	我 感 觉 不 是 很 暗 黑 跟 果 冻 搭 配 在 一 起 ！
83	成 膜 时 间 很 快 ， 而 且 还 有 淀 提 亮 肤 色 的 效 果 ！	成 膜 时 间 很 快 ， 而 且 还 有 点 提 亮 肤 色 的 效 果 ！
84	没 暗 闪 晚 上 回 家 还 是 白 白 净 净 的	没 暗 沉 晚 上 回 家 还 是 白 白 净 净 的
85	有 点 像 览 蔻 的 奇 迹 ， 但 又 比 奇 迹 的 味 道 稍 微 浓 一 些 。	有 点 像 兰 蔻 的 奇 迹 ， 但 又 比 奇 迹 的 味 道 稍 微 浓 一 些 。
86	笔 头 很 细 ， 能 画 出 根 根 分 明 的 某 流 感 ， 不 结 块 ， 笔 芯 韧 性 强 不 易 断 ， 颜 色 不 重 ， 新 手 可 以 驾 驭 。	笔 头 很 细 ， 能 画 出 根 根 分 明 的 毛 流 感 ， 不 结 块 ， 笔 芯 韧 性 强 不 易 断 ， 颜 色 不 重 ， 新 手 可 以 驾 驭 。
87	如 果 我 晚 上 准 备 熬 夜 我 会 在 洗 脸 后 涂 一 层 习 惯 性 厚 涂 ， 涂 完 以 后 按 摩 两 分 钟 促 进 下 骑 收 ， 十 分 钟 洗 掉 ， 洗 掉 后 脸 滑 滑 的 很 好 摸 ！	如 果 我 晚 上 准 备 熬 夜 我 会 在 洗 脸 后 涂 一 层 习 惯 性 厚 涂 ， 涂 完 以 后 按 摩 两 分 钟 促 进 下 吸 收 ， 十 分 钟 洗 掉 ， 洗 掉 后 脸 滑 滑 的 很 好 摸 ！
88	驻 要 我 是 敏 感 肌 养 肤 真 的 太 赞 了 感 觉 保 湿 也 蛮 好 的 对 敏 感 肌 真 的 很 友 好	主 要 我 是 敏 感 肌 养 肤 真 的 太 赞 了 感 觉 保 湿 也 蛮 好 的 对 敏 感 肌 真 的 很 友 好
89	搏 红 也 绝 美 、 完 全 舍 不 得 用	腮 红 也 绝 美 、 完 全 舍 不 得 用
90	涂 完 不 拔 干 ， 用 量 不 多 ， 兴 价 比 高	涂 完 不 拔 干 ， 用 量 不 多 ， 性 价 比 高
91	丝 芙 篮 优 惠 力 度 更 大 噢	丝 芙 兰 优 惠 力 度 更 大 噢
92	我 们 王 一 博 袋 言 的 植 村 秀 怎 能 不 买 ！	我 们 王 一 博 代 言 的 植 村 秀 怎 能 不 买 ！
93	丝 芙 兰 独 家 发 售 的 新 品 果 惺 不 会 让 人 失 望	丝 芙 兰 独 家 发 售 的 新 品 果 然 不 会 让 人 失 望
94	听 说 玛 丽 黛 佳 这 盘 是 从 东 方 郁 者 飘 逸 的 服 饰 中 汲 取 的 色 彩 灵 感	听 说 玛 丽 黛 佳 这 盘 是 从 东 方 舞 者 飘 逸 的 服 饰 中 汲 取 的 色 彩 灵 感
95	还 有 1 2 毫 显 白 的 复 古 红 ！	还 有 1 2 好 显 白 的 复 古 红 ！
96	一 周 多 爆 痘 的 下 巴 就 有 很 大 的 改 善 ， 而 且 肤 色 透 亮 很 多 ， 比 很 多 美 白 精 华 效 果 来 得 还 快 ！	一 周 多 爆 豆 的 下 巴 就 有 很 大 的 改 善 ， 而 且 肤 色 透 亮 很 多 ， 比 很 多 美 白 精 华 效 果 来 得 还 快 ！
97	肌 肤 状 态 非 嫦 不 稳 定 ！	肌 肤 状 态 非 常 不 稳 定 ！
98	说 到 茶 叶 一 堤 要 说 馥 蕾 诗 的 馥 蕾 诗 红 茶 紧 致 修 护 精 华 露	说 到 茶 叶 一 定 要 说 馥 蕾 诗 的 馥 蕾 诗 红 茶 紧 致 修 护 精 华 露
99	案 利 一 波 我 在 丝 芙 兰 美 印 社 区 种 草 的 私 藏 宝 藏 好 物 ：	安 利 一 波 我 在 丝 芙 兰 美 印 社 区 种 草 的 私 藏 宝 藏 好 物 ：
100	又 到 了 买 七 夕 尼 盒 的 时 候 了 ！	又 到 了 买 七 夕 礼 盒 的 时 候 了 ！
101	有 谐 卸 妆 油 真 的 很 好 用	有 些 卸 妆 油 真 的 很 好 用
102	倚 啊 啊 啊 啊 啊 啊 啊 迪 奥 6 4 1 ！	啊 啊 啊 啊 啊 啊 啊 啊 迪 奥 6 4 1 ！
103	最 近 在 用 这 瓶 兹 诗 敦 金 睿 御 龄 焕 活 紧 实 眼 霜 ， 质 地 细 腻 柔 润 ， 还 自 带 敲 好 用 的 按 摩 棒 ！	最 近 在 用 这 瓶 雅 诗 敦 金 睿 御 龄 焕 活 紧 实 眼 霜 ， 质 地 细 腻 柔 润 ， 还 自 带 敲 好 用 的 按 摩 棒 ！
104	眼 周 肌 肤 比 脸 部 落 肤 还 要 薄 几 倍 ，	眼 周 肌 肤 比 脸 部 皮 肤 还 要 薄 几 倍 ，
105	避 雷 质 地 掉 渣 的 紫 灰 色 和 晕 不 太 匀 的 淦 薇 色 。	避 雷 质 地 掉 渣 的 紫 灰 色 和 晕 不 太 匀 的 蔷 薇 色 。
106	对 大 地 色 毫 摭 抵 抗 力 ！	对 大 地 色 毫 无 抵 抗 力 ！
107	天 然 肽 ， 源 于 小 海 藻 提 取 物 ， 有 抗 氧 化 ， 改 善 暗 沉 范 疲 倦 的 功 效 。	天 然 肽 ， 源 于 小 海 藻 提 取 物 ， 有 抗 氧 化 ， 改 善 暗 沉 和 疲 倦 的 功 效 。
108	这 款 安 瓶 石 以 达 到 4 8 小 时 持 久 保 湿 ， 因 为 我 有 时 候 赖 在 家 里 不 擦 脸 ， 基 本 上 涂 完 这 款 安 瓶 可 以 两 天 时 间 脸 上 还 是 润 润 的 感 觉 。	这 款 安 瓶 可 以 达 到 4 8 小 时 持 久 保 湿 ， 因 为 我 有 时 候 赖 在 家 里 不 擦 脸 ， 基 本 上 涂 完 这 款 安 瓶 可 以 两 天 时 间 脸 上 还 是 润 润 的 感 觉 。
109	达 们 两 个 成 分 联 合 效 果 倍 增	它 们 两 个 成 分 联 合 效 果 倍 增
110	也 只 有 丝 覆 兰 才 有 哦 ！	也 只 有 丝 芙 兰 才 有 哦 ！
111	大 面 积 扫 也 不 辉 突 兀 ， 高 级 低 调 的 感 觉 ；	大 面 积 扫 也 不 会 突 兀 ， 高 级 低 调 的 感 觉 ；
112	1 0 力 水 于 掌 心 ， 厚 涂 肌 肤 当 保 湿 面 膜 使 用 ， 加 强 呎 湿 修 护 屏 障 。	1 0 力 水 于 掌 心 ， 厚 涂 肌 肤 当 保 湿 面 膜 使 用 ， 加 强 保 湿 修 护 屏 障 。
113	而 且 这 款 面 霜 质 地 类 似 慕 斯 质 地 ， 抹 开 能 感 到 非 常 顺 滑 ， 清 爽 的 同 时 也 能 很 好 的 保 湿 ， 学 果 非 常 好 。	而 且 这 款 面 霜 质 地 类 似 慕 斯 质 地 ， 抹 开 能 感 到 非 常 顺 滑 ， 清 爽 的 同 时 也 能 很 好 的 保 湿 ， 效 果 非 常 好 。
114	是 在 丝 芙 兰 美 印 社 区 种 草 的 口 红 ， 这 里 面 提 供 的 功 课 和 姐 黴 们 发 布 的 妆 容 也 太 酷 了 ！	是 在 丝 芙 兰 美 印 社 区 种 草 的 口 红 ， 这 里 面 提 供 的 功 课 和 姐 妹 们 发 布 的 妆 容 也 太 酷 了 ！
115	小 棕 瓶 可 以 让 我 持 久 信 赖 ， 正 是 因 为 它 自 身 存 载 独 特 的 “ 魅 力 ” 。	小 棕 瓶 可 以 让 我 持 久 信 赖 ， 正 是 因 为 它 自 身 存 在 独 特 的 “ 魅 力 ” 。
116	护 肤 就 是 享 售 的 感 觉 ！	护 肤 就 是 享 受 的 感 觉 ！
117	果 然 稿 端 护 肤 品 牌 ， 体 验 感 令 人 很 满 意	果 然 高 端 护 肤 品 牌 ， 体 验 感 令 人 很 满 意
118	很 显 白 ， 喜 欢 立 面 唇 妆 的 宝 宝 不 要 错 过 ， 最 后 一 次 补 色 晚 上 就 不 要 再 抿 嘴 啦 ， 静 静 的 等 待 成 膜 。	很 显 白 ， 喜 欢 镜 面 唇 妆 的 宝 宝 不 要 错 过 ， 最 后 一 次 补 色 晚 上 就 不 要 再 抿 嘴 啦 ， 静 静 的 等 待 成 膜 。
119	髻 肌 肤 2 4 小 时 都 能 得 到 保 护 ！	让 肌 肤 2 4 小 时 都 能 得 到 保 护 ！
120	自 从 去 专 柜 买 多 甘 弹 簧 霜 ， 和 柜 姐 成 为 闺 蜜 ！	自 从 去 专 柜 买 多 了 弹 簧 霜 ， 和 柜 姐 成 为 闺 蜜 ！
121	丝 芙 兰 赌 家 发 售 新 品 ！	丝 芙 兰 独 家 发 售 新 品 ！
122	主 打 ： 深 层 滋 养 、 抗 氖 化	主 打 ： 深 层 滋 养 、 抗 氧 化
123	哑 光 质 感 ， 颜 色 饱 满 ， 一 旗 显 白 ！	哑 光 质 感 ， 颜 色 饱 满 ， 一 级 显 白 ！
124	秃 头 小 姐 妹 颗 以 试 一 试 。	秃 头 小 姐 妹 可 以 试 一 试 。
125	那 么 分 享 一 下 我 自 己 的 眼 部 户 理 心 得	那 么 分 享 一 下 我 自 己 的 眼 部 护 理 心 得
126	跟 我 平 时 用 的 贴 片 式 面 膜 忧 所 不 同 ， 小 红 伴 们 注 意 哦 ， 面 膜 设 计 上 也 可 看 出 金 色 区 域 有 小 包 装 的 精 华 哦 ！	跟 我 平 时 用 的 贴 片 式 面 膜 有 所 不 同 ， 小 红 伴 们 注 意 哦 ， 面 膜 设 计 上 也 可 看 出 金 色 区 域 有 小 包 装 的 精 华 哦 ！
127	最 迫 买 了 3 款 底 妆 产 品 ， 一 款 是 去 年 就 在 首 尔 免 税 店 种 草 的 娇 兰 光 透 养 肤 粉 底 液 ！	最 近 买 了 3 款 底 妆 产 品 ， 一 款 是 去 年 就 在 首 尔 免 税 店 种 草 的 娇 兰 光 透 养 肤 粉 底 液 ！
128	后 续 叠 加 底 妆 也 毫 无 压 协 ！	后 续 叠 加 底 妆 也 毫 无 压 力 ！
129	防 晒 这 舰 大 事 必 须 重 视 ， 毕 竟 大 家 都 深 知 防 晒 才 能 防 老 嘛 ！	防 晒 这 件 大 事 必 须 重 视 ， 毕 竟 大 家 都 深 知 防 晒 才 能 防 老 嘛 ！
130	适 合 偏 油 皮 的 “ 矿 吊 水 ” 质 地 ， 浸 湿 化 妆 棉 拍 脸 清 透 又 即 可 滋 润 ， 很 适 合 夏 天 ！	适 合 偏 油 皮 的 “ 矿 泉 水 ” 质 地 ， 浸 湿 化 妆 棉 拍 脸 清 透 又 即 可 滋 润 ， 很 适 合 夏 天 ！
131	然 后 淡 坛 的 刷 上 一 层 睫 毛 膏	然 后 淡 淡 的 刷 上 一 层 睫 毛 膏
132	李 佳 琦 新 年 的 第 一 场 直 播 真 的 是 让 我 剁 惫 停 不 下 来 ，	李 佳 琦 新 年 的 第 一 场 直 播 真 的 是 让 我 剁 手 停 不 下 来 ，
133	感 觉 他 们 家 这 款 精 华 真 的 是 交 复 王 炸 精 华	感 觉 他 们 家 这 款 精 华 真 的 是 修 复 王 炸 精 华
134	买 肝 到 4 0 0 的 泥 们 ！	买 不 到 4 0 0 的 泥 们 ！
135	最 近 鼻 翼 泛 红 严 重 ， 额 头 夏 巴 闭 口 如 雨 后 春 笋 ， 使 用 了 一 个 星 期 左 右 ， 肌 肤 状 况 有 所 改 善 ， 泛 红 淡 化 ， 闭 口 慢 慢 消 下 来 。	最 近 鼻 翼 泛 红 严 重 ， 额 头 下 巴 闭 口 如 雨 后 春 笋 ， 使 用 了 一 个 星 期 左 右 ， 肌 肤 状 况 有 所 改 善 ， 泛 红 淡 化 ， 闭 口 慢 慢 消 下 来 。
136	我 入 首 的 两 块 分 别 是 ：	我 入 手 的 两 块 分 别 是 ：
137	不 买 都 推 不 起 自 己 的 那 种 ！	不 买 都 对 不 起 自 己 的 那 种 ！
138	出 来 的 效 果 就 是 那 种 拐 嫩 光 泽 的 妆 感 ， 很 美 腻 ！	出 来 的 效 果 就 是 那 种 粉 嫩 光 泽 的 妆 感 ， 很 美 腻 ！
139	我 比 较 喜 欢 在 夜 间 用 它 、 我 纠 得 2 0 岁 以 后 女 生 都 应 该 注 重 夜 间 护 肤 ， 娇 韵 诗 这 个 双 萃 精 华 还 有 初 抗 老 的 功 效 、 真 的 无 限 回 购 了 ！	我 比 较 喜 欢 在 夜 间 用 它 、 我 觉 得 2 0 岁 以 后 女 生 都 应 该 注 重 夜 间 护 肤 ， 娇 韵 诗 这 个 双 萃 精 华 还 有 初 抗 老 的 功 效 、 真 的 无 限 回 购 了 ！
